timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773141751262,141,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,6,http://localhost:8072/articles?page=1&size=10,133,0,2
1773141750866,537,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,6,http://localhost:8072/articles?page=1&size=10,529,0,43
1773141751403,28,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,6,http://localhost:8072/articles?page=1&size=10,26,0,0
1773141751403,28,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,6,http://localhost:8072/articles?page=1&size=10,26,0,0
1773141751431,26,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,5,http://localhost:8072/articles?page=1&size=10,25,0,0
1773141751431,26,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,5,http://localhost:8072/articles?page=1&size=10,25,0,0
1773141751458,24,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,5,http://localhost:8072/articles?page=1&size=10,22,0,0
1773141751458,25,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,5,http://localhost:8072/articles?page=1&size=10,24,0,0
1773141751482,31,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,5,http://localhost:8072/articles?page=1&size=10,29,0,0
1773141751484,29,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,5,http://localhost:8072/articles?page=1&size=10,27,0,0
1773141751513,26,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,24,0,0
1773141751513,26,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,24,0,0
1773141751539,23,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,22,0,0
1773141751540,22,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,21,0,0
1773141751563,38,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,35,0,0
1773141751563,49,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,37,0,0
1773141751601,59,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,59,0,0
1773141751613,47,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,46,0,0
1773141751661,27,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,25,0,0
1773141751661,32,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,30,0,0
1773141751688,29,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,27,0,0
1773141751694,26,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,24,0,0
1773141751717,22,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,22,0,0
1773141751720,25,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,2,4,http://localhost:8072/articles?page=1&size=10,24,0,0
1773141751740,20,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,2,6,http://localhost:8072/articles?page=1&size=10,18,0,0
1773141751745,22,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,7,http://localhost:8072/articles?page=1&size=10,21,0,0
1773141751760,21,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,7,http://localhost:8072/articles?page=1&size=10,20,0,0
1773141751763,22,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,7,http://localhost:8072/articles?page=1&size=10,21,0,2
1773141751768,23,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,7,http://localhost:8072/articles?page=1&size=10,21,0,0
1773141751782,18,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,7,http://localhost:8072/articles?page=1&size=10,18,0,0
1773141751786,18,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,7,http://localhost:8072/articles?page=1&size=10,16,0,0
1773141751791,18,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,18,0,0
1773141751801,19,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,19,0,0
1773141751804,17,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,16,0,0
1773141751810,17,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,16,0,0
1773141751821,19,Article List Get,200,,Article List Test 3-2,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,18,0,0
1773141751821,19,Article List Get,200,,Article List Test 3-3,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,18,0,0
1773141751828,17,Article List Get,200,,Article List Test 3-1,text,true,,20169,172,3,6,http://localhost:8072/articles?page=1&size=10,16,0,0
